Word,Joy,Optimism,Admiration,Acceptance,Fear,Apprehension,Amazement,Surprise,Loathing,Disgust,Rage,Anger,Anticipation,Interest,Sadness,Disapproval,Appreciation,Grief,Love
ordeal,0.031658918,0.042890593,0.028198775,0.08937496,0.32966644,0.06385889,0.07775387,0.031512473,0.004292899,0,0,0,0.027802011,0,0.45214558,0,0,0.62692625,0
outrageous,0.01190211,0.04681357,0,0.01480929,0,0,0.2138839,0.194760135,0,0.057527043,0.7981452,0.48740737,0,0.021435402,0,0.52612355,0,0.014787049,0
outrage,0.01190211,0.04681357,0,0.01480929,0,0,0.2138839,0.194760135,0,0.057527043,0.7981452,0.48740737,0,0.021435402,0,0.52612355,0,0.014787049,0
provoke,0,0,0.10873237,0,0.23202507,0.103545144,0.14161405,0.209622,0.13913976,0.22555819,0.22532687,0.3236271,0.123055995,0.30289492,0.011876849,0.12956305,0,0.015455002,0
provoking,0,0,0.10873237,0,0.243202507,0.303545144,0.14161405,0.209622,0.13913976,0.22555819,0.42532687,0.6236271,0.123055995,0.30289492,0.011876849,0.12956305,0,0.015455002,0
repulsive,0,0,0.010128727,0.03799479,0.010781146,0.045048844,0.031340457,0.023268234,0.14205037,0.1927313,0,0,0,0.055765975,0,0.15611836,0.003702073,0,0
severe,0,0.02862549,0,0,0.10297449,0,0,0.016750494,0,0,0.011328762,0.008249035,0,0.001767291,0,0.03809938,0,0,0
shameful,0,0,0,0,0.042404756,0,0.008818302,0.010637414,0.01260756,0.12769048,0,0,0,0.031353336,0.06291291,0.18749197,0,0.04136067,0.009259774
shocking,0,0.016677557,0,0.030686101,0.026189556,0,0.18805379,0.26015124,0,0.12857695,0,0,0,0.059771147,0.035297118,0.13051516,0,0,0.031737544
terrible,0.07287147,0.012266142,0,0,0.14800893,0.053392917,0.044061985,0.07500322,0,0.010771592,0.20579247,0.1017002,0,0.026440002,0.15925787,0.025812954,0.008029659,0.22419778,0.049530398
terribly,0.07287147,0.012266142,0,0,0.14800893,0.053392917,0.044061985,0.07500322,0,0.010771592,0.20579247,0.1017002,0,0.026440002,0.25925787,0.025812954,0.008029659,0.42419778,0.049530398
tragic,0.06647998,0.04842188,0.033953227,0.021996066,0.035498977,0,0.03310373,0.024829239,0,0.022671517,0.046048183,0.06471979,0,0.03531418,0.24446726,0.0707789,0.038229216,0.23909892,0.1147799
tragically,0.06647998,0.04842188,0.033953227,0.021996066,0.035498977,0,0.03310373,0.024829239,0,0.022671517,0.046048183,0.06471979,0,0.03531418,0.24446726,0.0707789,0.038229216,0.23909892,0.1147799
reliable,0.052677814,0.016099777,0,0.021069987,0.050207168,0.041265767,0,0.043547295,0.049870852,0.044420574,0.079540566,0.019132752,0.002812024,0.03703528,0,0,0.250036,0,0
reliably,0.052677814,0.016099777,0,0.021069987,0.050207168,0.041265767,0,0.043547295,0.049870852,0.044420574,0.079540566,0.019132752,0.002812024,0.03703528,0,0,0.250036,0,0
unreliable,0.07600866,0.05398841,0.009999953,0.022309296,0.013903162,0.018434884,0,0,0,0,0,0,0.023601623,0,0,0.105612,0,0,0.08332154
unreliably,0.07600866,0.05398841,0.009999953,0.022309296,0.013903162,0.018434884,0,0,0,0,0,0,0.023601623,0,0,0.105612,0,0,0.08332154
aggravate,0,0.007492526,0.056613795,0,0.04129636,0.041830767,0,0,0,0,0.173354825,0.29012524,0.019154355,0,0,0,0,0,0.044407602
aggravating,0,0.007492526,0.056613795,0,0.04129636,0.041830767,0,0,0,0,0.173354825,0.29012524,0.019154355,0,0,0,0,0,0.044407602
agony,0.46689683,0.079289764,0.2942131,0,0.21092547,0.31608224,0.466811,0.0854218,0.4544941,0.42384332,0.30395073,0.25231627,0.18952632,0,0.6329527,0.17976588,0.033831414,0.6516193,0.17249714
atrocious,0.026302315,0.05162908,0.024008377,0.036933023,0,0.0188548,0.031533822,0,0.10852524,0,0.016692683,0,0,0.031211708,0.015213291,0.031235667,0.017208144,0,0
corrupt,0,0,0.00344158,0,0.006839298,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016647682
damage,0.014221655,0.03778972,0.06646785,0.003493442,0.07809523,0.019212496,0,0,0.017970908,0,0.10261711,0.17154427,0,0.04204136,0.26716536,0.009555419,0.030531988,0.33128407,0.03247407
damaging,0.014221655,0.03778972,0.06646785,0.003493442,0.07809523,0.019212496,0,0,0.017970908,0,0.010261711,0.017154427,0,0.04204136,0,0.009555419,0.030531988,0.033128407,0.03247407
deplorable,0,0.037821572,0,0.01670823,0,0,0.007333287,0,0.09213401,0.004143535,0.03731789,0,0,0,0.011221231,0,0,0.001195972,0
deplorably,0,0.037821572,0,0.01670823,0,0,0.007333287,0,0.09213401,0.004143535,0.03731789,0,0,0,0.011221231,0,0,0.001195972,0
disadvantage,0,0.004036706,0,0,0.13707903,0.14678665,0.044457357,0.12720725,0.045324128,0.028685536,0,0,0,0.06586001,0.14342067,0,0,0.08938641,0
disastrous,0.06721417,0.041373517,0.03922046,0,0.058642447,0,0.015421821,0.12108137,0.03176066,0.01007314,0.047412004,0.031949162,0,0.041716516,0.022901008,0.02202894,0.01892315,0.036904413,0.036215466
disgusted,0,0,0,0,0,0,0,0,0.31646335,1,0.160269,0.24859838,0,0,0,0,0,0,0
dreadful,0.07510181,0,0.004474377,0,0.14770144,0.23289303,0.11018839,0.015174903,0.07232864,0.065933,0.11282459,0,0.018643389,0.044398222,0.16988768,0.02675449,0,0.17154801,0
harmful,0.053199448,0,0.032792643,0.022523345,0.046122983,0.009369302,0.04892443,0,0.0247355,0.015925398,0,0,0,0,0,0,0,0,0
harsh,0,0,0,0,0.012864699,0.043267455,0,0,0,0,0,0.090109795,0,0,0,0.095732726,0,0,0
enraged,0,0,0,0,0,0,0,0,0,0,0.3250015,0.6337934,0,0,0,0.19029684,0,0,0
offensive,0,0,0,0,0.026181428,0.04071038,0,0.065501004,0,0.022574935,0.09941889,0.013698293,0,0,0,0.061199613,0,0,0
aggressive,0,0,0,0,0.035861295,0.06301713,0,0,0,0,0.027435288,0.09228472,0,0,0,0.027840942,0,0,0
frustrated,0,0,0,0,0.109216176,0.12388414,0,0,0.11030369,0.22130288,0.21831605,0.39617407,0,0,0.1682844,0.12549242,0,0,0
resentful,0,0,0,0,0.16920628,0.065779686,0,0,0.14488256,0.02852596,0.0737104,0.1857104,0,0,0,0.17539753,0,0,0
malicious,0,0,0,0,0,0.023592874,0,0,0.067075305,0,0.004399512,0,0,0,0.025272736,0.019919865,0,0.02852733,0
infuriated,0,0,0,0,0.08609499,0,0,0,0,0.084076434,0.5328544,0.6337934,0,0,0,0.23575468,0,0,0
violent,0,0,0,0,0.09769923,0.066612855,0,0,0,0,0.28267246,0.26993114,0,0,0,0,0,0.04329363,0
furious,0,0,0,0,0.08635544,0,0,0,0.11070825,0.16782655,0.8834104,0.34919888,0,0,0,0.13370858,0,0,0
agitated,0,0,0,0,0.12711732,0.022640653,0,0,0,0,0.1748458,0.16876274,0,0,0,0.052504763,0,0,0
antagonistic,0,0,0,0,0.036796615,0.04231519,0,0,0.1411199,0,0,0.07510067,0,0,0,0.16082771,0,0,0
antagonistically,0,0,0,0,0.036796615,0.04231519,0,0,0.1911199,0,0,0.07510067,0,0,0,0.26082771,0,0,0
repulsed,0,0,0,0,0.025751252,0.13979526,0,0,0.0897872,0.02136246,0.06444775,0.08203371,0,0,0,0,0,0,0
venomous,0,0,0,0,0.024978232,0,0,0,0.197586,0.075049475,0.22376615,0.1652623,0,0,0,0.06066861,0,0.036381725,0
exasperated,0,0,0,0,0.08567115,0,0,0,0,0.19694947,0.18206371,0.44081566,0,0,0,0.1283484,0,0,0
contrary,0,0,0,0,0,0.028866315,0,0,0,0,0,0,0,0,0,0,0,0,0
condemning,0,0,0,0,0.1505731,0,0,0,0.12545513,0,0.054144863,0.11319909,0,0,0,0,0,0,0
seething,0,0,0,0,0,0,0,0,0.2400095,0.26254842,0.39918223,0.40889356,0,0,0.1257402,0.1177801,0,0.1743102,0
scornful,0,0,0,0,0.058776334,0,0,0,0.23236626,0.27569523,0.06711581,0.103977755,0,0,0,0.2648307,0,0,0
sarcastic,0,0,0,0,0,0,0,0,0.026105164,0.200015625,0.1631935,0.046516936,0,0,0.09044695,0.2464125,0,0,0
sarcastically,0,0,0,0,0,0,0,0,0.026105164,0.200015625,0.1631935,0.046516936,0,0,0.09044695,0.2464125,0,0,0
jealous,0,0,0,0,0.13968334,0,0,0,0.17074499,0,0.27353448,0.18889676,0,0,0,0.04984066,0,0.09784718,0
reprimand,0,0,0,0,0.053104293,0.02957091,0,0,0.04555844,0.045594197,0.011402206,0.07617715,0,0,0.022127457,0.67406213,0,0,0
powerless,0,0,0,0,0.09828244,0.013910885,0,0,0.062127132,0.07437807,0.09440368,0.04390211,0,0,0.05591946,0.023822147,0,0.08844536,0
despicable,0,0,0,0,0,0.10188282,0,0,0.11589251,0.116445534,0,0,0,0,0,0.39924487,0,0,0
despicably ,0,0,0,0,0,0.10188282,0,0,0.11589251,0.116445534,0,0,0,0,0,0.39924487,0,0,0
desperate,0,0,0,0,0.061489977,0,0,0,0,0,0.15971844,0.05603722,0,0,0.07195853,0.032535747,0,0.105119415,0
pessimistic,0,0,0,0,0.12071912,0.21880794,0,0,0.13710237,0.12657477,0.06954687,0.08787415,0,0,0.14631146,0.09308122,0,0.06890711,0
pessimistically,0,0,0,0,0.22071912,0.31880794,0,0,0.13710237,0.12657477,0.06954687,0.08787415,0,0,0.34631146,0.09308122,0,0.06890711,0
vilified,0,0,0,0,0.06665971,0.07126183,0,0,0.20437394,0.077469625,0.10651031,0.08055869,0,0,0,0.19007185,0,0.026098046,0
doubtful,0,0,0,0,0.1152589,0.11349858,0,0,0,0,0,0,0,0,0,0.12712725,0,0,0
uncertain,0,0,0,0,0.15749383,0.16298622,0,0,0.03690618,0,0,0,0,0,0,0,0,0,0
indecisive,0,0,0,0,0.07994372,0,0,0,0,0,0,0,0,0,0,0,0,0,0
perplex ,0,0,0,0,0.096163675,0.20544963,0,0,0.032271363,0.056537375,0,0,0,0,0,0.224882434,0,0,0
perplexed,0,0,0,0,0.096163675,0.20544963,0,0,0.032271363,0.056537375,0,0,0,0,0,0.224882434,0,0,0
perplexing,0,0,0,0,0.096163675,0.20544963,0,0,0.032271363,0.056537375,0,0,0,0,0,0.224882434,0,0,0
embarrassed,0,0,0,0,0.11707153,0.122512445,0,0,0.12164554,0.16768147,0.04007901,0.23831367,0,0,0.15615715,0.1130902,0,0.11962685,0
hesitant,0,0,0,0,0.14098664,0.10811722,0,0,0,0,0,0,0,0,0,0.072662674,0,0,0
